"loan_grade","home_ownership","total_borrowers","default_rate","average_income"
"G","MORTGAGE",28,100.00,91648.29
"G","OWN",5,100.00,72568.00
"F","OTHER",2,100.00,72625.00
"G","RENT",26,96.15,66604.12
"E","OTHER",6,83.33,43900.00
"F","RENT",105,77.14,61008.02
"E","RENT",517,76.60,58205.52
"D","RENT",1934,74.46,53317.03
"F","MORTGAGE",92,64.13,94905.22
"E","OWN",50,58.00,58074.26
"F","OWN",15,53.33,108242.33
"D","MORTGAGE",1104,45.92,82286.90
"E","MORTGAGE",308,45.78,94825.35
"D","OTHER",16,43.75,143557.06
"C","OTHER",16,31.25,58001.06
"C","RENT",3340,26.56,55285.73
"B","RENT",5006,23.99,55410.28
"A","RENT",3965,17.63,54446.14
"B","OTHER",30,16.67,67192.10
"C","MORTGAGE",2030,14.43,84109.69
"A","OTHER",24,12.50,74340.17
"B","MORTGAGE",3620,8.12,82058.08
"A","OWN",845,6.86,55856.39
"D","OWN",260,6.54,59066.88
"C","OWN",442,5.43,54461.07
"A","MORTGAGE",4940,4.39,77435.63
"B","OWN",739,3.79,61442.81
